Наименование категории;Категория в Alibaba;Id Категориии в Alibaba
name;Special Purpose Bags & Cases;3805
name;Sports & Leisure Bags;3806
name;Wallets & Holders;3803
name;Carry-on Luggage;100002625
name;Luggage Sets;100002869
name;Trolley Bags;100002627
name;Briefcases;152402
name;Cosmetic Bags & Cases;152407
name;Shopping Bags;380530
name;Handbags;100002703
name;Backpacks;152401
name;Wallets;152405
name;Baby Shoes
name;Children's Shoes;32212
name;Dance Shoes;100003552
name;Genuine Leather Shoes;100001696
name;Men's Shoes;100001615
name;Other Shoes;32299
name;Shoe Materials;32209
name;Shoe Parts & Accessories;32210
name;Shoe Repairing Equipment;32218
name;Shoes Design Services;32220
name;Shoes Processing Services;32221
name;Shoes Stock;32216
name;Special Purpose Shoes;32208
name;Sports Shoes;100002699
name;Used Shoes;32217
name;Women's Shoes;100001606
Electronics › Computers & Accessories;Computer Hardware & Software;7?spm=a2700.galleryofferlist.galleryFilter.3.4d262567ljSoRq
name;Electronic Cigarettes
Electronics › Accessories & Supplies;Accessories & Parts;100009632
Electronics › Camera & Photo;Camera, Photo & Accessories;100009630
name;Electronic Publications;100009633
name;Home Audio, Video & Accessories;100009629
Electronics › Home Audio;Home Audio, Video & Accessories;100009629
Electronics › Television & Video;Home Audio, Video & Accessories;100009629
name;Mobile Phone & Accessories;100002954
name;Other Consumer Electronics;4499
name;Portable Audio, Video & Accessories;100009628
Electronics › Portable Audio & Video;Portable Audio, Video & Accessories;100009628
name;Video Game & Accessories;100009631
name;Mobile Phones;5090301
Electronics › Headphones;Earphone & Headphone;63705
name;Power Banks;100009648
name;Digital Camera;1909
name;Radio & TV Accessories;503
name;Speaker;518
name;Television;634
name;Cables;100009644
name;Charger;410299
name;Digital Battery;410201
name;Digital Photo Frame;4401
name;3D Glasses;100007533
name;Air Conditioning Appliances;100000050
name;Cleaning Appliances;100000013
name;Hand Dryers;614
name;Home Appliance Parts;100000016
name;Home Appliances Stocks;631
name;Home Heaters;100000015
name;Kitchen Appliances;100000011
name;Laundry Appliances;100000012
name;Other Home Appliances;628
name;Refrigerators & Freezers;100000026
name;Water Heaters;100000054
name;Water Treatment Appliances;100000014
name;Wet Towel Dispensers;648
name;Air Conditioners;601
name;Fans;618
name;Vacuum Cleaners;608
name;Solar Water Heaters;100701
name;Cooking Appliances;100000017
name;Coffee Makers;638
name;Blenders;64301
name;Locks & Keys
name;Personal Protective Equipment
name;Access Control Systems & Products;3030
name;Alarm;3008
name;CCTV Products;3011
name;Firefighting Supplies;3009
name;Locksmith Supplies;301003
name;Other Security & Protection Products;3016
name;Police & Military Supplies;3005
name;Roadway Safety;3015
name;Safes;3012
name;Security Services;3014
name;Self Defense Supplies;3019
name;Water Safety Products;3006
